Aggie Robotics Parts List,,,,,,
Item,Unit Price,Quantity,Total Price,Purchase Link,Priority,Function
Vex Classroom Bundle,"$5,299.99",1,"$5,299.99",http://bit.ly/2fENpEh,1,Robotics prototyping
Vex Advanced Sensor Kit,$99.99,6,$599.94,http://bit.ly/2fvmuHo,1,Robotics prototyping
Double-sided Circuit Board Blanks (25 pack),$32.00,8,$256.00,http://bit.ly/2wnLgQm,1,Electrical prototyping
Pulley Belt Set,$3.00,2,$6.00,http://bit.ly/2fw0I6w,1,Electrical prototyping
"0.0005"" Engraving Bit (10-pack)",$216.00,2,$432.00,http://bit.ly/2fuNwhW,1,Electrical prototyping
Scotch Double-sided Tape (2 pack),$6.10,10,$61.00,http://amzn.to/2wo39P1,1,Electrical prototyping
Weller WXP65 with Stand,$273.00,6,"$1,638.00",http://bit.ly/2xPB0Uy,1,Electrical prototyping
Weller WXDP120 with Stand,$418.00,2,$836.00,http://bit.ly/2xOq0Hg,1,Electrical prototyping
Weller WSA350 Smoke Absorber,$72.70,3,$218.10,http://bit.ly/2fUgAjB,1,Electrical prototyping
Weller WSA250F Pads (3 pack),$7.60,2,$15.20,http://bit.ly/2yJyIVj,1,Electrical prototyping
Adafruit Motor/Stepper/Servo Shield,$17.96,20,$359.20,https://www.adafruit.com/product/1438,2,Robotics prototyping
Arduino Uno,$24.95,20,$499.00,https://www.adafruit.com/product/50,2,Electrical prototyping
Arduino Nano,$3.95,40,$158.13,http://amzn.to/2xFsVQf,2,Electrical prototyping
Universal Perfboard,$4.46,50,$223.00,https://www.adafruit.com/product/2670,2,Electrical prototyping
Wire Spool Rack,$64.03,2,$128.06,https://amzn.to/2CTmu0R,2,Electrical prototyping
18 Gauge Wire Set,$36.95,1,$36.95,https://amzn.to/2QfoZOT,2,Electrical prototyping
100 ft Red Hookup Wire,$25.54,1,$25.54,https://bit.ly/2zmFDom,2,Electrical prototyping
100 ft Black Hookup Wire,$26.57,1,$26.57,https://bit.ly/2OlcIGA,2,Electrical prototyping
100 ft Blue Hookup Wire,$26.54,1,$26.54,https://bit.ly/2ziKWoI,2,Electrical prototyping
100 ft Yellow Hookup Wire,$26.57,1,$26.57,https://bit.ly/2On4lur,2, Electrical prototyping
100 ft Green Hookup Wire,$26.54,1,$26.54,https://bit.ly/2Qgt0SX,2, Electrical prototyping
100 ft Orange Hookup Wire,$26.57,1,$26.57,https://bit.ly/2qpUJFN,2,Electrical prototyping
100 ft Violet Hookup Wire,$26.57,1,$26.57,https://bit.ly/2AHDaXo,2,Electrical prototyping
Raspberry Pi 3,$35.00,20,$700.00,https://www.adafruit.com/product/3055,3,Embedded System Programming
16 GB Class 10 MicroSD Card,$18.95,30,$379.00,https://www.sparkfun.com/products/13833ad,3,Embedded System Programming
Raspberry Pi 3 Case,$11.95,20,$239.00,https://www.adafruit.com/product/2619,3,Embedded System Programming
Raspberry Pi Power Supply,$7.50,25,$187.50,https://www.adafruit.com/product/1995,3,Embedded System Programming
Raspberry Pi Display,$44.95,20,$899.00,https://www.adafruit.com/product/2441,3,Embedded System Programming
"Keyboard, Mouse, HDMI for Raspberry Pi",$22.95,20,$459.00,https://www.adafruit.com/product/2129,3,Embedded System Programming
USB SD Card Reader,$9.99,5,$49.95,http://amzn.to/2xQfYpb,3,Embedded System Programming
12 Volt Vacuum,$59.00,1,$59.00,https://thd.co/2wndvyM,4,Room Maintenance
12 Volt Battery w/ Charger,$69.00,1,$69.00,https://thd.co/2wZ1t2W,4,Room Maintenance
"Spool 0.031"" Solder",$7.55,30,$226.50,https://www.sparkfun.com/products/9325,5,Electrical prototyping
Helping Third Hand,$6.00,4,$24.00,https://www.adafruit.com/product/291,5,Electrical prototyping
PCB Vise,$28.00,2,$56.00,https://www.adafruit.com/product/151,5,Electrical prototyping
Solder Wick,$2.70,12,$32.40,https://www.adafruit.com/product/149,5,Electrical prototyping
Solder Flux,$15.95,6,$95.70,https://www.adafruit.com/product/2667,5,Electrical prototyping
Solder Stand,$11.35,30,$340.50,https://www.sparkfun.com/products/14232,5,Electrical prototyping
Craftsman Precision Screwdriver Set,$57.47,3,$172.41,http://amzn.to/2xPviSV,6,Electrical prototyping
Greenlee PA1123,$27.54,3,$82.62,http://amzn.to/2fvlhQm,6,Electrical prototyping
Greenlee PA1176,$12.79,3,$38.37,http://amzn.to/2wncJlm,6,Electrical prototyping
Electrical Tape (10 pack),$12.70,1,$12.70,http://amzn.to/2xFuuh5,6,Electrical prototyping
Crimp Terminal Set,$28.99,1,$28.99,http://amzn.to/2ycC1ae,6,Electrical prototyping
Digital Multimeter,$23.69,10,$236.90,http://amzn.to/2yMFXM5,6,Electrical prototyping
Resistor Kit,$7.95,1,$7.95,https://www.sparkfun.com/products/10969,7,Electrical prototyping
